PERIODO,DEPARTAMENTO,Municipio,CODIGO PLANTEL EDUCATIVO,GRADO,TOTAL INSCRITOS,TOTAL EVALUADOS,CLASIFICACION,INDICE TOTAL,APROBACIÓN,POBLACIÓN DANE,No. ACCESOS FIJOS A INTERNET,REPITENCIA,DESERCIÓN,COBERTURA_NETA,REPROBACIÓN
2021,meta,granada,150313000984,11.0,407.0,398.0,B,0.67,91.22,29451,1884,3.86,3.89,90.62,4.89
2021,nariño,albán,252019000272,11.0,22.0,21.0,D,0.62,94.25,8241,304,2.0,3.76,70.36,1.99
2021,cundinamarca,guachetá,125317000232,11.0,108.0,107.0,B,0.67,96.78,13841,672,2.96,3.02,99.13,0.21
2021,cundinamarca,sopó,125758000084,11.0,243.0,238.0,B,0.7,92.28,27000,3885,3.44,2.09,93.06,5.63
2021,norte de santander,san cayetano,254673000039,11.0,90.0,89.0,B,0.68,93.21,6177,74,2.34,3.39,85.17,3.43
2021,cundinamarca,cota,425214000149,11.0,292.0,292.0,A+,0.88,92.22,34237,8256,3.65,3.12,191.43,4.66
2021,cundinamarca,fusagasugá,425290001979,11.0,88.0,86.0,A,0.73,88.77,144966,30378,3.29,4.22,95.58,7.01
2021,cundinamarca,guatavita,125326000121,11.0,115.0,113.0,B,0.72,98.27,6583,259,2.62,1.45,79.71,0.27
2021,cundinamarca,quipile,225596000497,11.0,44.0,44.0,D,0.62,95.01,6532,38,2.83,2.72,82.04,2.28
2021,cundinamarca,villeta,125875000265,11.0,287.0,283.0,B,0.71,95.84,28051,3591,2.98,3.08,99.37,1.09
2021,cundinamarca,villagómez,125871000163,11.0,107.0,105.0,C,0.64,95.68,1830,51,2.95,2.78,88.3,1.54
2021,cundinamarca,cachipay,225123000201,11.0,47.0,45.0,C,0.64,96.09,10376,180,3.89,3.4,70.04,0.51
2021,cundinamarca,soacha,125754002066,11.0,573.0,557.0,C,0.67,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,soacha,125754000331,11.0,892.0,883.0,B,0.69,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,guataquí,125324000094,11.0,53.0,53.0,D,0.61,94.6,2950,48,2.93,3.81,80.44,1.88
2021,norte de santander,san cayetano,154673000026,11.0,98.0,97.0,C,0.64,93.21,6177,74,2.34,3.39,85.17,3.43
2021,cundinamarca,soacha,125754001833,11.0,130.0,129.0,B,0.72,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,paratebueno,225530000267,11.0,42.0,40.0,D,0.62,93.01,8698,148,3.04,4.2,102.95,2.79
2021,cundinamarca,sopó,325758000181,11.0,106.0,106.0,A+,0.8,92.28,27000,3885,3.44,2.09,93.06,5.63
2021,cundinamarca,chipaque,125178000168,11.0,175.0,175.0,A,0.75,93.78,9858,233,8.02,2.01,85.1,4.21
2021,cundinamarca,guatavita,225326000096,11.0,99.0,98.0,C,0.67,98.27,6583,259,2.62,1.45,79.71,0.27
2021,cundinamarca,la calera,225377000139,11.0,80.0,80.0,B,0.68,92.88,31209,7026,5.17,2.89,138.75,4.23
2021,cundinamarca,paratebueno,225530000348,11.0,77.0,76.0,B,0.7,93.01,8698,148,3.04,4.2,102.95,2.79
2021,cundinamarca,tenjo,125799000161,11.0,255.0,251.0,C,0.67,90.73,22915,2582,3.24,3.63,145.05,5.64
2021,nariño,nariño,252001003568,11.0,150.0,148.0,C,0.66,92.8,5749,199,3.03,3.05,71.69,3.92
2021,cundinamarca,anapoima,225035000072,11.0,56.0,54.0,C,0.64,95.13,15173,1198,5.75,3.58,96.21,1.29
2021,cundinamarca,fusagasugá,125290002246,11.0,196.0,192.0,B,0.69,88.77,144966,30378,3.29,4.22,95.58,7.01
2021,cundinamarca,girardot,325307000047,11.0,203.0,202.0,A+,0.79,87.04,105557,20344,3.45,5.02,96.97,7.94
2021,cundinamarca,albán,125019000386,11.0,92.0,90.0,B,0.68,94.25,8241,304,2.0,3.76,70.36,1.99
2021,cundinamarca,girardot,125307000072,11.0,168.0,161.0,C,0.66,87.04,105557,20344,3.45,5.02,96.97,7.94
2021,cundinamarca,zipaquirá,325899090060,11.0,77.0,77.0,A+,0.81,84.19,136724,26371,4.83,4.34,90.64,11.47
2021,cundinamarca,sesquilé,325736000233,11.0,42.0,42.0,A,0.77,96.78,11941,1202,2.27,2.51,85.92,0.71
2021,cundinamarca,funza,325286000899,11.0,9.0,9.0,D,0.56,92.22,97629,21449,2.64,3.25,104.56,4.53
2021,cundinamarca,suesca,225772000270,11.0,99.0,98.0,C,0.64,92.95,17782,760,2.9,3.5,74.99,3.54
2021,cundinamarca,soacha,325754001590,11.0,348.0,339.0,C,0.67,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,carmen de carupa,125154000248,11.0,165.0,164.0,B,0.68,95.78,7882,218,3.07,1.59,78.32,2.63
2021,cundinamarca,facatativá,325269001280,11.0,78.0,76.0,B,0.7,89.9,146026,21090,2.88,3.59,88.01,6.52
2021,cundinamarca,simijaca,425745000241,11.0,20.0,20.0,B,0.7,96.18,13412,913,6.55,2.69,81.72,1.13
2021,cundinamarca,vergara,125862000355,11.0,112.0,111.0,B,0.68,95.77,7104,64,2.72,2.43,75.89,1.81
2021,cundinamarca,soacha,325754000968,11.0,23.0,23.0,B,0.67,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,soacha,325754001778,11.0,203.0,201.0,B,0.7,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,sopó,125758002915,11.0,195.0,191.0,A,0.73,92.28,27000,3885,3.44,2.09,93.06,5.63
2021,cundinamarca,simijaca,125745000166,11.0,514.0,506.0,B,0.68,96.18,13412,913,6.55,2.69,81.72,1.13
2021,bolívar,el peñón,213667000827,11.0,68.0,67.0,D,0.6,92.3,6024,50,3.37,3.3,78.98,4.4
2021,cundinamarca,madrid,425430000706,11.0,105.0,103.0,A,0.74,93.9,117685,26618,5.4,3.54,92.49,2.56
2021,cundinamarca,ubalá,225839000911,11.0,66.0,64.0,D,0.62,96.29,8004,108,2.83,2.13,90.43,1.59
2021,cundinamarca,tocancipá,325817000211,11.0,59.0,59.0,B,0.71,93.61,41585,7638,4.21,1.96,97.26,4.43
2021,cundinamarca,funza,325286000149,11.0,201.0,200.0,A,0.75,92.22,97629,21449,2.64,3.25,104.56,4.53
2021,cundinamarca,caparrapí,225148000401,11.0,29.0,27.0,C,0.63,95.7,13049,424,2.56,2.22,77.16,2.09
2021,nariño,albán,152019000251,11.0,271.0,268.0,B,0.67,94.25,8241,304,2.0,3.76,70.36,1.99
2021,cundinamarca,cota,325214000136,11.0,13.0,13.0,A,0.73,92.22,34237,8256,3.65,3.12,191.43,4.66
2021,cundinamarca,zipaquirá,125899000592,11.0,428.0,426.0,A+,0.77,84.19,136724,26371,4.83,4.34,90.64,11.47
2021,cundinamarca,soacha,325754004050,11.0,13.0,13.0,B,0.69,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,caparrapí,125148000481,11.0,169.0,168.0,B,0.68,95.7,13049,424,2.56,2.22,77.16,2.09
2021,cundinamarca,soacha,125754001019,11.0,560.0,551.0,B,0.68,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,soacha,325754001042,11.0,129.0,129.0,B,0.68,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,soacha,225754000661,11.0,137.0,133.0,C,0.67,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,soacha,325754001859,11.0,201.0,201.0,B,0.69,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,soacha,325754003606,11.0,165.0,165.0,B,0.69,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,soacha,325754001212,11.0,101.0,100.0,A,0.74,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,facatativá,325269001042,11.0,114.0,114.0,A+,0.81,89.9,146026,21090,2.88,3.59,88.01,6.52
2021,cundinamarca,junín,225372000777,11.0,28.0,26.0,D,0.59,97.68,6047,90,2.85,1.34,72.35,0.98
2021,cundinamarca,la calera,425377076576,11.0,147.0,146.0,A+,0.86,92.88,31209,7026,5.17,2.89,138.75,4.23
2021,antioquia,venecia,205861000398,11.0,29.0,29.0,C,0.63,93.14,8101,729,4.23,4.57,102.3,2.29
2021,cundinamarca,soacha,325754002464,11.0,80.0,80.0,B,0.71,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,fusagasugá,225290000914,11.0,49.0,45.0,C,0.67,88.77,144966,30378,3.29,4.22,95.58,7.01
2021,cundinamarca,guataquí,225324000064,11.0,11.0,11.0,D,0.59,94.6,2950,48,2.93,3.81,80.44,1.88
2021,cundinamarca,nemocón,125486000187,11.0,303.0,300.0,C,0.66,95.89,13766,959,2.32,3.23,93.79,0.88
2021,cundinamarca,sutatausa,125781000121,11.0,159.0,159.0,B,0.71,97.96,6145,241,1.03,1.93,92.07,0.11
2021,cundinamarca,tabio,125785000100,11.0,409.0,404.0,B,0.69,96.95,22653,3487,2.4,2.06,83.91,1.0
2021,cundinamarca,soacha,125754001973,11.0,65.0,65.0,C,0.64,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,madrid,125430000842,11.0,555.0,548.0,B,0.7,93.9,117685,26618,5.4,3.54,92.49,2.56
2021,cundinamarca,mosquera,325473000225,11.0,162.0,162.0,A+,0.78,91.81,73390,16253,4.17,2.51,79.68,5.73
2021,cundinamarca,quebradanegra,325592000136,11.0,50.0,50.0,B,0.71,93.27,4898,73,2.46,2.46,86.89,4.26
2021,cundinamarca,sibaté,125740000346,11.0,426.0,418.0,B,0.67,92.81,34994,5347,5.73,3.34,90.0,3.85
2021,cundinamarca,zipaquirá,325899000443,11.0,174.0,174.0,A+,0.78,84.19,136724,26371,4.83,4.34,90.64,11.47
2021,cundinamarca,soacha,425754001811,11.0,180.0,178.0,B,0.69,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,facatativá,325269000305,11.0,40.0,40.0,A,0.76,89.9,146026,21090,2.88,3.59,88.01,6.52
